Extrato	Concentracao	Planta	Epigeo	Raiz
Maduro	0	1	23.71	24.18
Maduro	0	2	21.88	49.2
Maduro	0	3	25.23	28.87
Maduro	0	4	20.15	42.11
Maduro	0	5	25.4	38.84
Maduro	0	6	16.71	22.33
Maduro	0	7	1.46	26.6
Maduro	0	8	12.89	34.41
Maduro	0	9	18.94	34.41
Maduro	0	10	20.83	68.73
Maduro	0	11	20.83	23.69
Maduro	0	12	18.6	43.78
Maduro	0	13	21.18	50.97
Maduro	0	14	21.65	41.98
Maduro	0	15	18.18	47.2
Maduro	0	16	14.15	14.8
Maduro	0	17	21.78	22.69
Maduro	0	18	16.56	28.74
Maduro	0	19	21.28	49.23
Maduro	0	20	19.48	25.18
Maduro	0	21	18.31	35.75
Maduro	0	22	22.62	16.64
Maduro	0	23	19.47	28.78
Maduro	0	24	21.33	35.55
Maduro	0	25	13.65	19.13
Maduro	0	26	19.05	17.65
Maduro	0	27	23.85	5.07
Maduro	0	28	29.83	40.73
Maduro	0	29	16.85	15.84
Maduro	0	30	16.62	29.98
Maduro	0	31	25.68	26.26
Maduro	0	32	2.04	39.04
Maduro	0	33	25.82	33.1
Maduro	0	34	26.29	57.42
Maduro	0	35	23.68	23.11
Maduro	0	36	29.65	38.88
Maduro	0	37	21.43	13.81
Maduro	0	38	24.32	6.09
Maduro	0	39	20.73	14.79
Maduro	0	40	1.4	21.34
Maduro	0.025	41	29.21	41.37
Maduro	0.025	42	27.5	25.28
Maduro	0.025	43	25.3	31.01
Maduro	0.025	44	26.46	35.78
Maduro	0.025	45	15.91	28.83
Maduro	0.025	46	19.11	32.87
Maduro	0.025	47	18.18	22.78
Maduro	0.025	48	20.12	14.87
Maduro	0.025	49	12.29	13.47
Maduro	0.025	50	13.02	19.84
Maduro	0.025	51	24.9	30.03
Maduro	0.025	52	25.48	26.15
Maduro	0.025	53	25.69	32.94
Maduro	0.025	54	23.42	18.23
Maduro	0.025	55	17.98	30.26
Maduro	0.025	56	26.74	38.22
Maduro	0.025	57	23.85	52.42
Maduro	0.025	58	27.26	29.6
Maduro	0.025	59	22.21	59.42
Maduro	0.025	60	2.17	67.73
Maduro	0.025	61	30.26	38.12
Maduro	0.025	62	16	25.7
Maduro	0.025	63	24.68	41.28
Maduro	0.025	64	24.8	53.04
Maduro	0.025	65	4.36	33.8
Maduro	0.025	66	22.91	36.34
Maduro	0.025	67	24.04	42.65
Maduro	0.025	68	21.02	24.51
Maduro	0.025	69	20.53	31.88
Maduro	0.025	70	3.84	50.69
Maduro	0.025	71	13.74	44.97
Maduro	0.025	72	21.48	22.32
Maduro	0.025	73	15.47	40
Maduro	0.025	74	24.19	43.36
Maduro	0.025	75	23.5	48.29
Maduro	0.025	76	17.47	38.65
Maduro	0.025	77	25.18	24.95
Maduro	0.025	78	10.38	39.51
Maduro	0.025	79	5.74	39.54
Maduro	0.05	80	21.26	18.7
Maduro	0.05	81	22.06	26.04
Maduro	0.05	82	28.47	10.89
Maduro	0.05	83	17.71	19.61
Maduro	0.05	84	17.82	36.09
Maduro	0.05	85	15.88	9.73
Maduro	0.05	86	18.92	9.54
Maduro	0.05	87	15.77	15.7
Maduro	0.05	88	19.57	20.2
Maduro	0.05	89	17.27	15.1
Maduro	0.05	90	23.02	2.14
Maduro	0.05	91	17.11	23.29
Maduro	0.05	92	13.16	8.16
Maduro	0.05	93	24.14	9.8
Maduro	0.05	94	17.1	5.42
Maduro	0.05	95	16.59	11.52
Maduro	0.05	96	16.91	7.51
Maduro	0.05	97	14.58	5.31
Maduro	0.05	98	18.47	9.88
Maduro	0.05	99	19.33	9.11
Maduro	0.05	100	25.61	18.94
Maduro	0.05	101	18.35	8.13
Maduro	0.05	102	24.42	15.54
Maduro	0.05	103	17.72	5.12
Maduro	0.05	104	21.56	32.22
Maduro	0.05	105	19.69	4.29
Maduro	0.05	106	19.26	8.49
Maduro	0.05	107	23.51	5.32
Maduro	0.05	108	15.59	5.77
Maduro	0.05	109	18.97	8.44
Maduro	0.05	110	7.72	5.13
Maduro	0.05	111	25.51	13.39
Maduro	0.05	112	20.03	6.54
Maduro	0.05	113	22.74	19.14
Maduro	0.05	114	22.79	6.55
Maduro	0.05	115	22.32	12.35
Maduro	0.05	116	26.72	13.91
Maduro	0.05	117	19.33	5.34
Maduro	0.05	118	21.86	16.22
Maduro	0.05	119	18.32	17.32
Maduro	0.075	120	17.61	8.36
Maduro	0.075	121	23.2	5.69
Maduro	0.075	122	11.87	5.05
Maduro	0.075	123	8.75	4.02
Maduro	0.075	124	25.6	4.13
Maduro	0.075	125	22.32	5.15
Maduro	0.075	126	12.44	3.7
Maduro	0.075	127	14.52	2.88
Maduro	0.075	128	19.98	2.14
Maduro	0.075	129	22.13	0.86
Maduro	0.075	130	20.31	5.06
Maduro	0.075	131	23.11	2.98
Maduro	0.075	132	19.66	4.02
Maduro	0.075	133	24.88	3.67
Maduro	0.075	134	22.15	4.64
Maduro	0.075	135	13.82	1.18
Maduro	0.075	136	21.7	1.92
Maduro	0.075	137	14.92	4.9
Maduro	0.075	138	21.22	5.77
Maduro	0.075	139	18.76	3.8
Maduro	0.075	140	17.59	5.1
Maduro	0.075	141	15.13	3.68
Maduro	0.075	142	14.92	0.84
Maduro	0.075	143	11.7	2.23
Maduro	0.075	144	15.71	13.59
Maduro	0.075	145	16.82	3.83
Maduro	0.075	146	9.81	5.86
Maduro	0.075	147	13.43	14.38
Maduro	0.075	148	17.82	9.18
Maduro	0.075	149	2.34	4.66
Maduro	0.075	150	17.73	12.57
Maduro	0.075	151	15.92	4.3
Maduro	0.075	152	17.38	6.55
Maduro	0.075	153	13.55	2.68
Maduro	0.075	154	10.12	4.61
Maduro	0.075	155	15.26	16.91
Maduro	0.075	156	16.22	4.51
Maduro	0.075	157	10.04	8.84
Maduro	0.075	158	11.96	10.43
Maduro	0.075	159	17.91	3.17
Maduro	0.1	160	14.38	4.16
Maduro	0.1	161	15.73	3.92
Maduro	0.1	162	15.28	5.82
Maduro	0.1	163	17.52	3.67
Maduro	0.1	164	12.83	2.84
Maduro	0.1	165	16.97	3.58
Maduro	0.1	166	15.49	7.18
Maduro	0.1	167	17.61	2.32
Maduro	0.1	168	3.16	2
Maduro	0.1	169	16.67	3.38
Maduro	0.1	170	20.28	3.55
Maduro	0.1	171	17.57	1.7
Maduro	0.1	172	17.4	4
Maduro	0.1	173	19.65	3.24
Maduro	0.1	174	12.72	2.74
Maduro	0.1	175	22.05	4.03
Maduro	0.1	176	21.79	4.71
Maduro	0.1	177	18.54	7.81
Maduro	0.1	178	14.63	5.13
Maduro	0.1	179	15.27	5.63
Maduro	0.1	180	21.25	3.53
Maduro	0.1	181	23.63	2.54
Maduro	0.1	182	18.57	5.15
Maduro	0.1	183	15.19	3.45
Maduro	0.1	184	14.51	4.68
Maduro	0.1	185	20.97	2.72
Maduro	0.1	186	11.28	2.5
Maduro	0.1	187	13.43	4.9
Maduro	0.1	188	2.67	3.91
Maduro	0.1	189	11.06	2.74
Maduro	0.1	190	21.98	4.77
Maduro	0.1	191	17.65	2.08
Maduro	0.1	192	15.01	2.45
Maduro	0.1	193	15.96	2.53
Maduro	0.1	194	22.23	3.25
Maduro	0.1	195	17.11	4.97
Maduro	0.1	196	21.3	4.3
Maduro	0.1	197	19.55	5.11
Maduro	0.1	198	1.7	0.82
Maduro	0.1	199	1.17	1.96
Jovem	0	200	16.67	59.53
Jovem	0	201	23.21	19.82
Jovem	0	202	18.67	51.04
Jovem	0	203	22.16	6.24
Jovem	0	204	17.35	26.59
Jovem	0	205	15.89	49.08
Jovem	0	206	12.14	28.73
Jovem	0	207	17.37	14.66
Jovem	0	208	20.04	40.94
Jovem	0	209	22	58.19
Jovem	0	210	13.65	30.86
Jovem	0	211	18.2	38.99
Jovem	0	212	22.19	19.38
Jovem	0	213	21.11	23.85
Jovem	0	214	22.94	19.45
Jovem	0	215	17.82	19.48
Jovem	0	216	14.05	42.76
Jovem	0	217	20	39.32
Jovem	0	218	17.06	20.72
Jovem	0	219	2.29	18.92
Jovem	0	220	19.89	28.05
Jovem	0	221	21.08	23.47
Jovem	0	222	25.28	19.95
Jovem	0	223	23.93	38.69
Jovem	0	224	24.04	17.39
Jovem	0	225	25.88	37.89
Jovem	0	226	22.43	53.2
Jovem	0	227	7.03	13.71
Jovem	0	228	26.21	21.88
Jovem	0	229	8.33	9.7
Jovem	0	230	12.89	1.2
Jovem	0	231	30.96	22
Jovem	0	232	19.93	24.55
Jovem	0	233	22.57	44.62
Jovem	0	234	13.28	51.33
Jovem	0	235	11.96	17.57
Jovem	0	236	20.32	40.5
Jovem	0	237	15.6	6.09
Jovem	0	238	18.35	17.13
Jovem	0	239	20.7	18.45
Jovem	0.025	240	15.8	16.22
Jovem	0.025	241	13.37	25.57
Jovem	0.025	242	14.9	25.5
Jovem	0.025	243	16.09	18.7
Jovem	0.025	244	21.85	20.39
Jovem	0.025	245	14.32	17.31
Jovem	0.025	246	15.3	10.63
